,Title,Publication Information,Publisher,Author,year,Abstract
471,Pattern Matching-based scraping of news websites,"H Salem, M Mazzara - Journal of Physics: Conference Series, 2020 - iopscience.iop.org",[PDF] iop.org,"H Salem, M Mazzara ",2020,"… There are two methods for web scraping; using software or writing code. Web scraping software 
can be categorized into two main categories … Web mining: Information and pattern discovery 
on the world wide web. In Proceedings ninth IEEE international conference on tools with …"
472,Methodology of Machine Learning for the classification and Prediction of users in Virtual Education Environments,"EJ De La Hoz, TJ Fontalvo - 2019 - repositorio.utb.edu.co",[PDF] utb.edu.co,"EJ De La Hoz, TJ Fontalvo ",2019,"… Estas son frecuencia de visitas, tiempo activo en la web en temas enmarcados como claves de 
estudio y desempeño en exámenes … no permite realizar procesos de barrido de la información 
generales o Web Scrapping, por lo tanto, se recogió la información individual por cada …"
473,Early detection at-risk students using machine learning,"S Pongpaichet, S Jankapor, S Janchai… - … on Information and …, 2020 - ieeexplore.ieee.org",Early detection at-risk students using machine learning,"S Pongpaichet, S Jankapor, S Janchai… ",2020,"Machine Learning is one of the most popular technologies using in many industries, especially 
to analyze the data and find key insight or new knowledge. In education industry, many studies 
have applied machine learning techniques for various purposes. One important area is …"
474,Towards Inferring Influential Facebook Users,"SA Alsaif, A Hidri, MS Hidri - Computers, 2021 - mdpi.com",[PDF] mdpi.com,"SA Alsaif, A Hidri, MS Hidri ",2021,"… The legality of Web scrapping varies across the world from one country to another. In general, 
… Given the problem of the legality of Web scrapping in terms of violation of privacy, which 
also contradicts the conditions of use of Facebook, we opted for the Web crawling method. …"
475,Measurement of Online Education System in Pakistan during COVID-19: A Corpus Linguistic Analysis.,"S Rasool, KB Khan, S Shahzad, UF Alvi - Ilkogretim Online, 2021 - search.ebscohost.com",Measurement of Online Education System in Pakistan during COVID-19: A Corpus Linguistic Analysis.,"S Rasool, KB Khan, S Shahzad, UF Alvi ",2021,"… The choice of the dataset is based on the generation of automatic web-based corpus through 
scraping the websites of four leading … goals to generate a web-based corpus of publications 
electronic media. Firstly, the tool, sketch engine was used for web scrapping; the relevant …"
476,Effect of Toxic Review Content on Overall Product Sentiment,"M Mukhopadhyay, S Sahney - arXiv preprint arXiv:2201.02857, 2022 - arxiv.org",[PDF] arxiv.org,"M Mukhopadhyay, S Sahney ","2201, 2857, 2022","… In the extraction phase, a web scrapping module is developed using python to collect app 
review comments and related attributes … In the data extraction phase of our study, we have 
focussed on web data and NLP based information processing. We have identified three broad …"
477,Implementation of Indonesian electronic citation system based on web extraction techniques,"RF Sari, A Kurniawan - 2010 Third International Conference on …, 2010 - ieeexplore.ieee.org",Implementation of Indonesian electronic citation system based on web extraction techniques,"RF Sari, A Kurniawan ","2010, 2010","… LITERATURE REVIEW Web scrapping, web harvesting or web data extraction is a technique 
to extract … web using a low-level HTTP or uses full-fledged web such as Internet Explorer 
and Mozilla [2]. Web Scraping is also associated with a web automation, which simulate web …"
478,Data collection and preparation,"PN Mahalle, GR Shinde, PD Pise… - Foundations of Data …, 2022 - Springer",Data collection and preparation,"PN Mahalle, GR Shinde, PD Pise… ",2022,"… The dataset can be generated from real-time data using web scrapping tools, and this 
data is changing at every moment. For example, Twitter data. Every moment Twitter feeds 
are there, hence this data definitely requires different processing than data which is static; eg …"
479,"[PDF][PDF] Browse, visualise, analyse EU procurement data","A Soylu, T Lech - Ercim News, 2020 - researchgate.net",[PDF] researchgate.net,"A Soylu, T Lech ",2020,"… OpenOpps has gathered over 2,000,000 tender documents from more than 300 publishers 
through web scrapping and by using open APIs, while OpenCorporates currently has 1,400,000 
entities collected from national registers. The data ingestion process comprises several …"
480,"Sidestepping the IT Artifact, Scrapping the IS Silo, and Laying Claim to'Systems in Organizations",S Alter - 2003 - repository.usfca.edu,[PDF] usfca.edu,S Alter ,2003,"… EDITOR’S NOTE: The following reference list and the reference list at the end of Appendix 
III contain the addresses of World Wide Web pages. Readers who have the ability to access 
the Web directly from their computer or are reading the paper on the Web, can gain direct …"
481,Feature Extraction Approach to Unearth Domain Generating Algorithms (DGAs),"S Upadhyay, A Ghorbani - 2020 IEEE Intl Conf on Dependable …, 2020 - ieeexplore.ieee.org",Feature Extraction Approach to Unearth Domain Generating Algorithms (DGAs),"S Upadhyay, A Ghorbani ","2020, 2020","… 2) Web Scrapping : gives a new aspect to our study, by providing different sort of features to 
look into. It is a way by which we extract information of the queried domain name from the web 
… We propose a technique that is an amalgam of linguistic and web extracted features which …"
482,Do You Feel Me? Exploring Reception of Advertising Emotions by Consumers,"J Yadav, M Misra, S Kumar - 2021 12th International …, 2021 - ieeexplore.ieee.org",[PDF] researchgate.net,"J Yadav, M Misra, S Kumar ","2021, 12, 2021","… This research used python web scraping(praw) [32] to extract and analyze data. The dataset 
summary used in this research paper has … Most of the post comments or posts have 
unnecessary web links, html tags etc. To clean such text, python text cleaning tools are used. Text …"
483,Aspek-aspek hukum hak cipta dalam tindakan web crawling/web scraping pada kegiatan ekonomi yang berbasis digital,RJP Kusumah - 2019 - repository.uph.edu,[PDF] uph.edu,RJP Kusumah ,2019,"… to the web crawling or web scraping. This research, which carried through qualitative 
normative research, will analyze the activities web crawling or web scraping with certain legal 
theories. Several comparisons toward foreign practice of web crawling or web scraping regulation …"
484,Cyber Terrorism-Related Multimedia Detection Using Deep Learning—A Survey,"H Mandaviya, S Sathwara - … of International Conference on Recent Trends …, 2021 - Springer",Cyber Terrorism-Related Multimedia Detection Using Deep Learning—A Survey,"H Mandaviya, S Sathwara ",2021,"… There are many methods for evaluation of cyber terrorism like online videos containing 
terrorist agenda to analyze, extract conclusions two using combined Web scrapping and video 
assessment method [1]. CNN is used on social media for photo retrieval using probability two …"
485,Zika-virus-related photo sharing on Pinterest and Instagram,"ICH Fung, EB Blankenship, ME Goff… - Disaster medicine and …, 2017 - cambridge.org",Zika-virus-related photo sharing on Pinterest and Instagram,"ICH Fung, EB Blankenship, ME Goff… ",2017,"… This forced us to rely on web-scrapping. Our screen-capture tool had its limits and, therefore, 
we were restricted to a convenience sample … EBB retrieved the Pinterest photos by web 
scraping. ICHF and EBB analyzed the data together. ICHF wrote the first draft of this manuscript …"
486,Text Mining for Secure Cyber Space,"S Raheja, G Munjal - Intelligent Data Analytics for Terror Threat …, 2021 - Wiley Online Library",Text Mining for Secure Cyber Space,"S Raheja, G Munjal ",2021,"… This work also performs web scrapping to … Dataset is generated dynamically from different 
websites using web scrapping [1]. Our expert system, first perform the web scrapping so that 
the user always get an updated dataset [4]. Input summarization automatically works on a …"
487,Emotion Sentiment Analysis of Indian Twitter-Data of COVID-19 After Lockdown,"D Kumar, U Bansal - 2021 2nd International Conference on …, 2021 - ieeexplore.ieee.org",Emotion Sentiment Analysis of Indian Twitter-Data of COVID-19 After Lockdown,"D Kumar, U Bansal ","2021, 2, 2021","… We have the tweeter data collected for a week duration worldwide using the scrapping 
method. We are here to find the emotions of the … the hashtags related to the COVID-19 and 
location in India using the scrapping process. We also use the standard smile dataset for the …"
488,Sistem Terintegrasi Portal Web Perguruan Tinggi Agama Islam Negeri Menggunakan Metode Grabbing,"S Sumarsono, AS Husin - Jurnal Kaunia, 2013 - neliti.com",[PDF] core.ac.uk,"S Sumarsono, AS Husin ",2013,"… This study uses web grabbing technique or what is often referred to as web scrapping / 
web fetching, the technique of taking content from a … Integrated web portal system is able to 
retrieve contents the latest information of website and be able to display it back on the system …"
489,[PDF][PDF] Using online hotel customer reviews to improve the booking process,"W Al-Abdullatif, Y Kotb - International Journal of Computer Applications, 2014 - Citeseer",[PDF] psu.edu,W Al,2014,"… There are three main types of web mining: web content mining, web structure mining and 
web usage mining [8]. … There are various levels of web scrapping, like human copy and 
paste, text grepping, HTTP programming, embedded web browsers, HTML parsers and web …"
490,Design of an automated comparable data collection tool to optimise pricing techniques,I Sospedra Salvadó - 2017 - upcommons.upc.edu,Design of an automated comparable data collection tool to optimise pricing techniques,I Sospedra Salvadó ,2017,"Unlike the stock market, where bids and offers for each asset are public, with real est ate 
there is no direct contact between buyer and seller, in most of the cases, and offers made by 
other potential buyers are normally not disclosed, hence most trading decisions are based on …"
491,Large scale image dataset construction using distributed crawling with hadoop YARN,"A Ali, R Ali, AM Khatak… - 2018 Joint 10th …, 2018 - ieeexplore.ieee.org",[PDF] researchgate.net,"A Ali, R Ali, AM Khatak… ","2018, 10, 2018","… crawls the web in a systematic manner using Hadoop MapReduce technique to collect images 
from millions of web pages on the web. With … We propose a Hadoop based crawling system 
that crawls the web starting from a list of seed URLs of relevant web pages. We propose a …"
